,cue_end,cue_start,delay_end,delay_start,duration,finger,move_end,move_start
0,9079,7079,1320,1560,1760,4.0,10399,8639
1,13079,11079,160,840,1320,3.0,13239,11919
2,17079,15079,520,760,1760,4.0,17599,15839
3,21079,19079,1240,1080,2160,1.0,22319,20159
4,25079,23079,1680,960,2720,3.0,26759,24039
5,29079,27079,1720,920,2800,4.0,30799,27999
6,33079,31079,1680,1080,2600,1.0,34759,32159
7,37079,35079,1000,960,2040,5.0,38079,36039
8,41079,39079,2600,1000,3600,4.0,43679,40079
9,45079,43079,2560,1560,3000,5.0,47639,44639
10,49079,47079,5200,1480,5720,2.0,54279,48559
11,53079,51079,1200,4840,-1640,2.0,54279,55919
12,57079,55079,1440,840,2600,2.0,58519,55919
13,61079,59079,1080,960,2120,5.0,62159,60039
14,65079,63079,2720,760,3960,5.0,67799,63839
15,69079,67079,2120,1480,2640,1.0,71199,68559
16,73079,71079,2760,1320,3440,2.0,75839,72399
17,77079,75079,2960,1680,3280,3.0,80039,76759
18,81079,79079,2520,1840,2680,2.0,83599,80919
19,85079,83079,960,1640,1320,3.0,86039,84719
20,89079,87079,680,920,1760,3.0,89759,87999
21,93079,91079,720,1200,1520,4.0,93799,92279
22,97079,95079,880,720,2160,5.0,97959,95799
23,101079,99079,1600,1000,2600,3.0,102679,100079
24,105079,103079,1880,840,3040,3.0,106959,103919
25,109079,107079,10000,11280,720,4.0,119079,118359
26,113079,111079,1120,1080,2040,3.0,114199,112159
27,117079,115079,2040,800,3240,5.0,119119,115879
28,121079,119079,1280,1200,2080,4.0,122359,120279
29,125079,123079,1520,880,2640,3.0,126599,123959
30,129079,127079,1720,960,2760,4.0,130799,128039
31,133079,131079,1360,920,2440,4.0,134439,131999
32,137079,135079,520,760,1760,5.0,137599,135839
33,141079,139079,1520,1000,2520,3.0,142599,140079
34,145079,143079,2280,880,3400,1.0,147359,143959
35,149079,147079,1360,1160,2200,2.0,150439,148239
36,153079,151079,1360,800,2560,5.0,154439,151879
37,157079,155079,960,880,2080,3.0,158039,155959
38,161079,159079,1680,1080,2600,1.0,162759,160159
39,165079,163079,880,760,2120,2.0,165959,163839
40,169079,167079,2480,800,3680,3.0,171559,167879
41,173079,171079,560,1320,1240,4.0,173639,172399
42,177079,175079,1280,760,2520,4.0,178359,175839
43,181079,179079,1120,880,2240,3.0,182199,179959
44,185079,183079,920,1080,1840,3.0,185999,184159
45,189079,187079,2320,920,3400,2.0,191399,187999
46,193079,191079,440,1000,1440,5.0,193519,192079
47,197079,195079,1080,880,2200,1.0,198159,195959
48,201079,199079,1160,960,2200,3.0,202239,200039
49,205079,203079,1360,920,2440,1.0,206439,203999
50,209079,207079,1440,800,2640,2.0,210519,207879
51,213079,211079,1240,1240,2000,3.0,214319,212319
52,217079,215079,1960,840,3120,3.0,219039,215919
53,221079,219079,2240,1120,3120,5.0,223319,220199
54,225079,223079,1600,1040,2560,2.0,226679,224119
55,229079,227079,2080,720,3360,4.0,231159,227799
56,233079,231079,1760,1040,2720,1.0,234839,232119
57,237079,235079,1960,1240,2720,3.0,239039,236319
58,241079,239079,2480,1640,2840,5.0,243559,240719
59,245079,243079,1320,1120,2200,1.0,246399,244199
60,249079,247079,1800,600,3200,2.0,250879,247679
61,253079,251079,1880,680,3200,5.0,254959,251759
62,257079,255079,520,800,1720,1.0,257599,255879
63,261079,259079,2720,800,3920,3.0,263799,259879
64,265079,263079,4720,1440,5280,2.0,269799,264519
65,269079,267079,720,8760,-6040,2.0,269799,275839
66,273079,271079,880,1080,1800,5.0,273959,272159
67,277079,275079,440,760,1680,2.0,277519,275839
68,281079,279079,1080,680,2400,5.0,282159,279759
69,285079,283079,1040,1000,2040,4.0,286119,284079
70,289079,287079,2440,600,3840,2.0,291519,287679
71,293079,291079,2360,1120,3240,1.0,295439,292199
72,297079,295079,2640,920,3720,5.0,299719,295999
73,301079,299079,2480,1200,3280,1.0,303559,300279
74,305079,303079,2840,1160,3680,4.0,307919,304239
75,309079,307079,2720,1280,3440,1.0,311799,308359
76,313079,311079,600,880,1720,3.0,313679,311959
77,317079,315079,400,760,1640,5.0,317479,315839
78,321079,319079,1840,720,3120,2.0,322919,319799
79,325079,323079,1880,840,3040,5.0,326959,323919
80,329079,327079,1360,13920,-10560,4.0,330439,340999
81,333079,331079,1800,760,3040,2.0,334879,331839
82,337079,335079,440,720,1720,5.0,337519,335799
83,341079,339079,640,880,1760,3.0,341719,339959
84,345079,343079,5440,920,6520,3.0,350519,343999
85,349079,347079,1440,20800,-17360,3.0,350519,367879
86,353079,351079,2400,760,3640,5.0,355479,351839
87,357079,355079,2160,1440,2720,5.0,359239,356519
88,361079,359079,2280,1040,3240,1.0,363359,360119
89,365079,363079,2280,1480,2800,4.0,367359,364559
90,369079,367079,960,800,2160,3.0,370039,367879
91,373079,371079,1360,840,2520,5.0,374439,371919
92,377079,375079,1880,560,3320,2.0,378959,375639
93,381079,379079,1480,840,2640,1.0,382559,379919
94,385079,383079,1600,560,3040,5.0,386679,383639
95,389079,387079,2600,720,3880,2.0,391679,387799
96,393079,391079,1080,1080,2000,1.0,394159,392159
97,397079,395079,2560,1120,3440,4.0,399639,396199
98,401079,399079,2440,1120,3320,1.0,403519,400199
99,405079,403079,1440,2160,1280,3.0,406519,405239
100,409079,407079,2280,880,3400,4.0,411359,407959
101,413079,411079,2040,840,3200,1.0,415119,411919
102,417079,415079,5480,1040,6440,4.0,422559,416119
103,421079,419079,1480,8800,-5320,4.0,422559,427879
104,425079,423079,1240,720,2520,2.0,426319,423799
105,429079,427079,320,800,1520,4.0,429399,427879
106,433079,431079,2400,720,3680,1.0,435479,431799
107,437079,435079,1480,1160,2320,4.0,438559,436239
108,441079,439079,2160,800,3360,2.0,443239,439879
109,445079,443079,1840,1000,2840,1.0,446919,444079
110,449079,447079,480,880,1600,1.0,449559,447959
111,453079,451079,960,760,2200,1.0,454039,451839
112,457079,455079,1760,1000,2760,4.0,458839,456079
113,461079,459079,480,680,1800,2.0,461559,459759
114,465079,463079,1480,720,2760,5.0,466559,463799
115,469079,467079,1120,760,2360,3.0,470199,467839
116,473079,471079,2200,1120,3080,2.0,475279,472199
117,477079,475079,2360,920,3440,3.0,479439,475999
118,481079,479079,920,880,2040,5.0,481999,479959
119,485079,483079,680,720,1960,5.0,485759,483799
120,489079,487079,1680,760,2920,4.0,490759,487839
121,493079,491079,1000,1040,1960,4.0,494079,492119
122,497079,495079,800,720,2080,4.0,497879,495799
123,501079,499079,4720,840,5880,1.0,505799,499919
124,505079,503079,720,13240,-10520,1.0,505799,516319
125,509079,507079,1920,720,3200,2.0,510999,507799
126,513079,511079,1040,960,2080,2.0,514119,512039
127,517079,515079,840,1240,1600,1.0,517919,516319
128,521079,519079,920,920,2000,2.0,521999,519999
129,525079,523079,4440,720,5720,5.0,529519,523799
130,529079,527079,440,37200,-34760,5.0,529519,564279
131,533079,531079,2360,720,3640,1.0,535439,531799
132,537079,535079,1880,1400,2480,4.0,538959,536479
133,541079,539079,1360,1080,2280,4.0,542439,540159
134,545079,543079,2920,840,4080,2.0,547999,543919
135,549079,547079,2320,1000,3320,1.0,551399,548079
136,553079,551079,2560,1280,3280,3.0,555639,552359
137,557079,555079,1520,1160,2360,1.0,558599,556239
138,561079,559079,2560,1120,3440,3.0,563639,560199
139,565079,563079,6560,1200,7360,5.0,571639,564279
140,569079,567079,2560,17160,-12600,5.0,571639,584239
141,573079,571079,4520,1680,4840,3.0,577599,572759
142,577079,575079,10480,80,12400,4.0,587559,575159
143,581079,579079,2800,1240,3560,2.0,583879,580319
144,585079,583079,2640,1160,3480,5.0,587719,584239
145,589079,587079,6480,1040,7440,2.0,595559,588119
146,593079,591079,2480,9040,-4560,2.0,595559,600119
147,597079,595079,1400,1040,2360,1.0,598479,596119
148,601079,599079,1640,880,2760,4.0,602719,599959
149,605079,603079,1680,920,2760,1.0,606759,603999
